name,cloneof,description,year,manufacturer
reguluso,regulus,Regulus (Old Ver.),1983,Sega
regulusu,regulus,Regulus (not encrypted),1983,Sega
upndown,,Up'n Down,1983,Sega
upndownu,upndown,Up'n Down (not encrypted),1983,Sega
mrviking,,Mister Viking,1984,Sega
mrvikngj,mrviking,Mister Viking (Japan),1984,Sega
swat,,SWAT,1984,Coreland / Sega
flicky,,Flicky (128k Ver.),1984,Sega
flickyo,flicky,Flicky (64k Ver.),1984,Sega
wmatch,,Water Match,1984,Sega
bullfgt,,Bullfight,1984,Coreland / Sega
thetogyu,bullfgt,The Togyu (Japan),1984,Coreland / Sega
spatter,,Spatter,1984,Sega
ssanchan,spatter,Sanrin San Chan (Japan),1984,Sega
pitfall2,,Pitfall II,1985,Sega
pitfallu,pitfall2,Pitfall II (not encrypted),1985,Sega
seganinj,,Sega Ninja,1985,Sega
seganinu,seganinj,Sega Ninja (not encrypted),1985,Sega
nprinces,seganinj,Ninja Princess (64k Ver. bootleg[Q]),1985,bootleg?
nprincso,seganinj,Ninja Princess (128k Ver.),1985,Sega
nprincsu,seganinj,Ninja Princess (64k Ver. not encrypted),1985,Sega
nprincsb,seganinj,Ninja Princess (128k Ver. bootleg[Q]),1985,bootleg?
imsorry,,I'm Sorry (US),1985,Coreland / Sega
imsorryj,imsorry,Gonbee no I'm Sorry (Japan),1985,Coreland / Sega
teddybb,,TeddyBoy Blues (New Ver.),1985,Sega
teddybbo,teddybb,TeddyBoy Blues (Old Ver.),1985,Sega
hvymetal,,Heavy Metal,1985,Sega
myhero,,My Hero (US),1985,Sega
sscandal,myhero,Seishun Scandal (Japan),1985,Coreland / Sega
myherok,myhero,My Hero (Korea),1985,Coreland / Sega
shtngmst,,Shooting Master,1985,Sega
chplft,,Choplifter,1985,Sega
chplftb,chplft,Choplifter (alternate),1985,Sega
chplftbl,chplft,Choplifter (bootleg),1985,bootleg
4dwarrio,,4-D Warriors,1985,Coreland / Sega
brain,,Brain,1986,Coreland / Sega
raflesia,,Rafflesia,1986,Coreland / Sega
wboy,,"Wonder Boy (set 1, new encryption)",1986,Sega (Escape license)
wboyo,wboy,"Wonder Boy (set 1, old encryption)",1986,Sega (Escape license)
wboy2,wboy,Wonder Boy (set 2),1986,Sega (Escape license)
wboy2u,wboy,Wonder Boy (set 2 not encrypted),1986,Sega (Escape license)
wboy3,wboy,Wonder Boy (set 3),1986,Sega (Escape license)
wboyu,wboy,Wonder Boy (not encrypted),1986,Sega (Escape license)
wbdeluxe,wboy,Wonder Boy Deluxe,1986,Sega (Escape license)
gardia,,Gardia,1986,Sega / Coreland
gardiab,gardia,Gardia (bootleg),1986,bootleg
noboranb,,Noboranka (Japan),1986,bootleg
blockgal,,Block Gal,1987,Sega / Vic Tokai
blckgalb,blockgal,Block Gal (bootleg),1987,bootleg
tokisens,,Toki no Senshi - Chrono Soldier,1987,Sega
wbml,,Wonder Boy in Monster Land (Japan New Ver.),1987,Sega / Westone
wbmljo,wbml,Wonder Boy in Monster Land (Japan Old Ver.),1987,Sega / Westone
wbmljb,wbml,Wonder Boy in Monster Land (Japan not encrypted),1987,bootleg
wbmlvc,wbml,"Wonder Boy in Monster Land (English, Virtual Console)",2009,Sega / Westone
wbmlb,wbml,Wonder Boy in Monster Land,1987,bootleg
dakkochn,,DakkoChan Jansoh,1987,Sega
ufosensi,,Ufo Senshi Yohko Chan,1988,Sega
ufosensb,ufosensi,Ufo Senshi Yohko Chan (not encrypted),1988,bootleg
hangonjr,,Hang-On Jr.,1985,Sega
transfrm,,Transformer,1986,Sega
astrofl,transfrm,Astro Flash (Japan),1986,Sega
ridleofp,,Riddle of Pythagoras (Japan),1986,Sega / Nasco
megrescu,,Megumi Rescue,1987,Sega / Exa
opaopa,,"Opa Opa (MC-8123, 317-0042)",1987,Sega
opaopan,opaopa,"Opa Opa (Rev A, unprotected)",1987,Sega
tetrisse,,"Tetris (Japan, System E)",1988,Sega
slapshtr,,Slap Shooter,1986,Sega
fantzn2,,Fantasy Zone 2,198?,????
turbo,,Turbo,1981,Sega
turboa,turbo,Turbo (encrypted set 1),1981,Sega
turbob,turbo,Turbo (encrypted set 2),1981,Sega
subroc3d,,Subroc-3D,1982,Sega
buckrog,,Buck Rogers - Planet of Zoom,1982,Sega
buckrogn,buckrog,Buck Rogers - Planet of Zoom (not encrypted),1982,Sega
kopunch,,KO Punch,1981,Sega
suprloco,,Super Locomotive,1982,Sega
dotrikun,,Dottori Kun (new version),1990,Sega
dotriku2,dotrikun,Dottori Kun (old version),1990,Sega
dotriman,dotrikun,Dottori-Man Jr.,2016,hack (Chris Covell)
spcpostn,,Space Position (Japan),1986,Sega / Nasco
angelkds,,Angel Kids (Japan),1988,Sega / Nasco?
calorie,,Calorie Kun vs Moguranian,1986,Sega
calorieb,calorie,Calorie Kun vs Moguranian (bootleg),1986,bootleg
alexkidd,,Alex Kidd: The Lost Stars (set 1),1986,Sega
aliensya,aliensyn,Alien Syndrome (set 2),1987,Sega
aliensyb,aliensyn,Alien Syndrome (set 3),1987,Sega
aliensyj,aliensyn,Alien Syndrome (Japan),1987,Sega
astorm,,Alien Storm,1990,Sega
astorm2p,astorm,Alien Storm (2 Player),1990,Sega
auraila,aurail,Aurail (set 2),1990,Sega / Westone
bayrouta,bayroute,Bay Route (set 2),1989,Sunsoft / Sega
bayrtbl1,bayroute,Bay Route (bootleg set 1),1989,bootleg
bayrtbl2,bayroute,Bay Route (bootleg set 2),1989,bootleg
enduror,,Enduro Racer,1986,Sega
eswat,,E-Swat - Cyber Police,1989,Sega
fpoint,,Flash Point,1989,Sega
goldnaxb,goldnaxe,Golden Axe (Version 2 317-0110),1989,Sega
goldnaxc,goldnaxe,Golden Axe (Version 2 317-0122),1989,Sega
goldnaxj,goldnaxe,"Golden Axe (Version 1, Japan)",1989,Sega
jyuohki,altbeast,Jyuohki (Japan),1988,Sega
moonwalk,,Michael Jackson's Moonwalker (Set 1),1990,Sega
moonwlka,moonwalk,Michael Jackson's Moonwalker (Set 2),1990,Sega
passsht,,Passing Shot (2 Players),1988,Sega
sdioj,sdi,SDI - Strategic Defense Initiative (Japan),1987,Sega
shangon,,Super Hang-On,1992,Sega
shinobia,shinobi,Shinobi (set 2),1987,Sega
shinobib,shinobi,Shinobi (set 3),1987,Sega
tetris,,Tetris (Sega Set 1),1988,Sega
tetrisa,tetris,Tetris (Sega Set 2),1988,Sega
wb3a,wb3,Wonder Boy III - Monster Lair (set 2),1988,Sega / Westone
aceattac,,Ace Attacker,19??,Sega
afighter,,Action Fighter,19??,Sega
bloxeed,,Bloxeed,1990,Sega
cltchitr,,Clutch Hitter,19??,Sega
cotton,,Cotton (Japan),19??,Sega
cottona,cotton,Cotton,19??,Sega
ddcrew,,DD Crew,19??,Sega
dunkshot,,Dunk Shot,19??,Sega
exctleag,,Excite League,19??,Sega
lghost,,Laser Ghost,19??,Sega
loffire,,Line of Fire,19??,Sega
mvp,,MVP,19??,Sega
ryukyu,,Ryukyu,19??,Sega
suprleag,,Super League,19??,Sega
thndrbld,,Thunder Blade,19??,Sega
thndrbdj,thndrbld,Thunder Blade (Japan),19??,Sega
aburner,aburner2,After Burner (Japan),1987,Sega
aburner2,,After Burner II,1987,Sega
alexkida,alexkidd,Alex Kidd: The Lost Stars (set 2),1986,Sega
aliensyn,,Alien Syndrome (set 1),1987,Sega
altbeas2,altbeast,Altered Beast (Version 2),1988,Sega
altbeast,,Altered Beast (Version 1),1988,Sega
astormbl,astorm,Alien Storm (bootleg),1990,bootleg
atomicp,,Atomic Point,1990,Philko
aurail,,Aurail (set 1),1990,Sega / Westone
bayroute,,Bay Route (set 1),1989,Sunsoft / Sega
cottond,cotton,"Cotton (set 4, World) (unprotected of FD1094 317-0181a set)",1991,Sega / Success
bulletd,,Bullet (unprotected of FD1094 317-0041 set),1987,Sega
bodyslam,,Body Slam,1986,Sega
dduxbl,,Dynamite Dux (bootleg),1989,bootleg
dumpmtmt,bodyslam,Dump Matsumoto (Japan),1986,Sega
endurob2,enduror,Enduro Racer (bootleg set 2),1986,bootleg
endurobl,enduror,Enduro Racer (bootleg set 1),1986,bootleg
eswatbl,eswat,E-Swat - Cyber Police (bootleg),1989,bootleg
fantzone,,Fantasy Zone (Japan New Ver.),1986,Sega
fantzono,fantzone,Fantasy Zone (Old Ver.),1986,Sega
fpointbl,fpoint,"Flash Point (World, bootleg)",1989,bootleg
fpointbj,fpoint,"Flash Point (Japan, bootleg)",1989,bootleg
goldnabl,goldnaxe,Golden Axe (bootleg),1989,bootleg
goldnaxa,goldnaxe,"Golden Axe (set 6, US) (8751 317-123A)",1989,Sega
goldnaxe,,Golden Axe (Version 1),1989,Sega
hangon,,Hang-On,1985,Sega
hwchamp,,Heavyweight Champ,1987,Sega
mjleague,,Major League,1985,Sega
moonwlkb,moonwalk,Michael Jackson's Moonwalker (bootleg),1990,bootleg
outrun,,Out Run (set 1),1986,Sega
outruna,outrun,Out Run (set 2),1986,Sega
outrunb,outrun,Out Run (set 3),1986,bootleg
passht4b,passsht,Passing Shot (4 Players) (bootleg),1988,bootleg
passshtb,passsht,Passing Shot (2 Players) (bootleg),1988,bootleg
quartet,,"Quartet (Rev A, 8751 315-5194)",1986,Sega
quartet2,quartet,Quartet 2 (8751 317-0010),1986,Sega
quartt2j,quartet,Quartet 2 (unprotected),1986,Sega
quartetj,quartet,Quartet (8751 315-5194),1986,Sega
riotcity,,Riot City,1991,Sega / Westone
sdi,,SDI - Strategic Defense Initiative,1987,Sega
shangonb,shangon,Super Hang-On (bootleg),1992,bootleg
sharrier,,Space Harrier,1985,Sega
shdancbl,shdancer,Shadow Dancer (bootleg),1989,bootleg
shdancer,,Shadow Dancer (US),1989,Sega
shdancrj,shdancer,Shadow Dancer (Japan),1989,Sega
shdancrb,shdancer,Shadow Dancer (Rev.B),1989,Sega
shinobi,,Shinobi (set 1),1987,Sega
shinobl,shinobi,Shinobi (bootleg),1987,bootleg
sonicbom,,Sonic Boom,1987,Sega
tetrisbl,tetris,Tetris (Sega bootleg),1988,bootleg
timscanr,,Time Scanner,1987,Sega
toryumon,,Toryumon,1994,Sega
toutrun,,Turbo Out Run (Out Run upgrade) (bootleg of FD1094 317-0118 set),1989,Sega
toutrun3,toutrun,Turbo Out Run (cockpit) (bootleg of FD1094 317-0107 set),1989,Sega
tturf,,Tough Turf (Japan),1989,Sega / Sunsoft
tturfbl,tturf,Tough Turf (bootleg),1989,bootleg
tturfu,tturf,Tough Turf (US),1989,Sega / Sunsoft
wb3,,Wonder Boy III - Monster Lair (set 1),1988,Sega / Westone
wb3bl,wb3,Wonder Boy III - Monster Lair (bootleg),1988,bootleg
wrestwar,,Wrestle War,1989,Sega
fantzn2x,,Fantasy Zone II - The Tears of Opa-Opa (System 16C version),2008,Sega / M2
hotrod,,Hot Rod (turbo 3 player),1988,Sega
bnzabros,,Bonanza Bros,1990,Sega
dcclub,,Dynamic Country Club,1991,Sega
mahmajn,,Tokoro San no MahMahjan,1992,Sega
qgh,,Quiz Ghost Hunter,1994,Sega
quizmeku,,Quiz Mekurumeku Story,1994,Sega
qrouka,,Quiz Rouka Ni Tattenasai,1994,Sega
mahmajn2,,Tokoro San no MahMahjan 2,1994,Sega
sspirits,,Scramble Spirits,????,Sega
sgmast,,Super Masters Golf,????,Sega
qsww,,Quiz Syukudai wo Wasuremashita,????,Sega
gground,,Gain Ground,????,Sega
crkdown,,Crackdown,????,Sega
holo,,Holosseum,1992,Sega
svf,,Super Visual Football - European Sega Cup,1994,Sega
svs,svf,Super Visual Soccer - Sega Cup (US),1994,Sega
jleague,svf,The J.League 1994 (Japan),1994,Sega
brival,,Burning Rival (Japan),1992,Sega
radm,,Rad Mobile,1991,Sega
radr,,Rad Rally,1991,Sega
f1en,,F1 Exhaust Note,1991,Sega
alien3,,Alien3: The Gun,1993,Sega
sonic,,Segasonic the Hedgehog (Japan rev. C),1992,Sega
sonicp,sonic,Segasonic the Hedgehog (Japan prototype),1992,Sega
jpark,,Jurassic Park,1994,Sega
ga2,,Golden Axe - The Revenge of Death Adder (US),1992,Sega
ga2j,ga2,Golden Axe - The Revenge of Death Adder (Japan),1992,Sega
spidey,,Spider-Man: The Videogame (US),1991,Sega
spideyj,spidey,Spider-Man: The Videogame (World),1991,Sega
arabfgt,,Arabian Fight,1992,Sega
arescue,,Air Rescue,1992,Sega
f1lap,,F1 Super Lap (World),1993,Sega
f1lapj,f1lap,F1 Super Lap (Japan),1993,Sega
dbzvrvs,,Dragon Ball Z V.R.V.S.,1994,Sega / Banpresto
darkedge,,Dark Edge,1993,Sega
slipstrm,,Slipstream,1995,Capcom
orunners,,Outrunners (US),1992,Sega
harddunk,,Hard Dunk (World),1994,Sega
harddunj,harddunk,Hard Dunk (Japan),1994,Sega
titlef,,Title Fight (World),1992,Sega
scross,,Stadium Cross (World),1992,Sega
astrass,,Astra SuperStars,1998,Sunsoft
bakubaku,,Baku Baku Animal,1996,Sega
colmns97,,Columns 97,1996,Sega
cotton2,,Cotton 2,1997,Success
cottonbm,,Cotton Boomerang,1998,Success
decathlt,,Decathlete,1995,Sega
diehard,,Die Hard Arcade (US),1996,Sega
dnmtdeka,diehard,Dynamite Deka (Japan),1996,Sega
ejihon,,Ejihon Tantei Jimusyo,1995,Sega
elandore,,Fighting Dragon Legend Elan Doree,1998,Sai-Mate
ffreveng,,Final Fight Revenge,1999,Capcom
fhboxers,,Funky Head Boxers,1995,Sega
findlove,,Find Love,1996,Daiki
finlarch,sleague,Final Arch (Japan),1995,Sega
gaxeduel,,Golden Axe - The Duel,1994,Sega
grdforce,,Guardian Force,1998,Success
groovef,,Power Instinct 3 - Groove On Fight,1996,Atlus
hanagumi,,Hanagumi Taisen Columns - Sakura Wars,1998,Sega
introdon,,Karaoke Quiz Intro Don Don!,1996,Sunsoft / Success
kiwames,,Pro Mahjong Kiwame S,1995,Athena
maruchan,,Maru-Chan de Goo!,1997,Sega
myfairld,,Virtual Mahjong 2 - My Fair Lady,1998,Micronet
othellos,,Othello Shiyouyo,1998,Success
pblbeach,,Pebble Beach - The Great Shot,1995,TandE Soft
prikura,,Princess Clara Daisakusen,1996,Atlus
puyosun,,Puyo Puyo Sun,1996,Compile
rsgun,,Radiant Silvergun,1998,Treasure
sandor,,Sando-R,1995,Sega
thunt,sandor,Treasure Hunt,1995,Sega
sassisu,,Taisen Tanto-R Sashissu!!,1996,Sega
seabass,,Sea Bass Fishing,1998,A Wave inc. (Able license)
shanhigw,,Shanghai - The Great Wall - Shanghai Triple Threat,1995,Sunsoft / Activision
shienryu,,Shienryu,1997,Warashi
sleague,,Super Major League (US),1995,Sega
sokyugrt,,Soukyugurentai - Terra Diver,1996,Raizing
sss,,Steep Slope Sliders,1998,Victor / Cave / Capcom
suikoenb,,Suikoenbu,1995,Data East
twcup98,,Tecmo World Cup '98,1998,Tecmo
vfkids,,Virtua Fighter Kids,1996,Sega
vfremix,,Virtua Fighter Remix,1995,Sega
vmahjong,,Virtual Mahjong,1997,Micronet
winterht,,Winter Heat,1997,Sega
znpwfv,,Zen Nippon Pro-Wrestling Featuring Virtua,1997,Sega
danchih,,Danchi de Hanafuda,1999,Altron (Tecmo license)
mausuke,,Mausuke no Ojama the World,1995,Data East
batmanfr,,Batman Forever,1996,Acclaim
sfish2,,Sport Fishing 2,1995,Sega
sfish2j,sfish2,Sport Fishing 2 (Japan),1995,Sega
logicpro,,Logic Pro (Japan),1996,Deniam
croquis,logicpro,Croquis (Germany),1996,Deniam
karianx,,Karian Cross (Rev. 1.0),1996,Deniam
logicpr2,,Logic Pro 2 (Japan),1997,Deniam
bloxeedc,bloxeed,Bloxeed (C System),1989,Sega / Elorg
columns,,Columns (US),1990,Sega
columnsj,columns,Columns (Japan),1990,Sega
columns2,,Columns II - The Voyage Through Time (Japan),1990,Sega
ssonicbr,,"SegaSonic Bros (Japan, prototype)",1992,Sega
borench,,Borench,1990,Sega
tfrceac,,ThunderForce AC,1990,Sega / Technosoft
tfrceacj,tfrceac,ThunderForce AC (Japan),1990,Sega / Technosoft
tfrceacb,tfrceac,ThunderForce AC (bootleg),1990,bootleg
ribbit,,Ribbit!,1991,Sega
tantr,,Puzzle &amp; Action: Tant-R (Japan),1992,Sega
tantrkor,tantr,Puzzle &amp; Action: Tant-R (Korea),1993,Sega
tantrbl,tantr,Puzzle &amp; Action: Tant-R (Japan) (bootleg set 1),1992,bootleg
tantrbl2,tantr,Puzzle &amp; Action: Tant-R (Japan) (bootleg set 2),1994,bootleg
puyopuyo,,Puyo Puyo (Japan),1992,Sega / Compile
puyopuya,puyopuyo,Puyo Puyo (Japan) (Rev A),1992,Sega / Compile
puyopuyb,puyopuyo,Puyo Puyo (English) (bootleg),1992,bootleg
ichir,,Puzzle &amp; Action: Ichidant-R (World),1994,Sega
ichirk,ichir,Puzzle &amp; Action: Ichidant-R (Korea),1994,Sega
ichirj,ichir,Puzzle &amp; Action: Ichidant-R (Japan),1994,Sega
ichirjbl,ichir,Puzzle &amp; Action: Ichidant-R (Japan) (bootleg),1994,bootleg
stkclmns,,Stack Columns (Japan),1994,Sega
puyopuy2,,Puyo Puyo 2 (Japan),1994,Compile (Sega license)
potopoto,,Poto Poto (Japan),1994,Sega
zunkyou,,Zunzunkyou No Yabou (Japan),1994,Sega
headonch,,"Head On Channel (Japan, prototype)",1994,Sega
ooparts,,"OOPArts (Japan, Prototype)",1992,Sega / Success
pclubj,,Print Club (Japan Vol.1),1995,Atlus
pclubjv2,pclubj,Print Club (Japan Vol.2),1995,Atlus
pclubjv4,pclubj,Print Club (Japan Vol.4),1996,Atlus
pclubjv5,pclubj,Print Club (Japan Vol.5),1996,Atlus
puckpkmn,,Puckman Pockimon,2000,Genie
jzth,,Juezhan Tianhuang,2000,&lt;unknown&gt;
sbubsm,,"Super Bubble Bobble (Sun Mixing, Megadrive clone hardware)",1996,Sun Mixing
barek3mb,,Bare Knuckle III (bootleg of Megadrive version),1994,bootleg / Sega
aladmdb,,Aladdin (bootleg of Japanese Megadrive version),1993,bootleg / Sega
barek2ch,,Bare Knuckle II (Chinese bootleg of Megadrive version),1994,bootleg / Sega
mt_beast,,MegaTech - Altered Beast,1989,Sega
mt_shar2,,MegaTech - Space Harrier 2.,1989,Sega
mt_stbld,,MegaTech - Super Thunder Blade,1989,Sega
mt_ggolf,,MegaTech - Great Golf,1989,Sega
mt_gsocr,,MegaTech - Great Soccer,1989,Sega
mt_shnbi,,MegaTech - Shinobi,1989,Sega
mt_aftrb,,MegaTech - Afterburner,1989,Sega
mt_tfor2,,MegaTech - Thunder Force 2,1989,Sega
mt_astro,,MegaTech - Astro Warrior,1989,Sega
mt_lastb,,MegaTech - Last Battle.,1989,Sega
mt_wcsoc,,MegaTech - World Cup Soccer,1989,Sega
mt_tetri,,MegaTech - Tetris,1989,Sega
mt_gng,,MegaTech - Ghouls and Ghosts,1989,Capcom / Sega
mt_gaxe,,MegaTech - Golden Axe,1989,Sega
mt_mystd,,MegaTech - Mystic Defender,1989,Sega
mt_revsh,,MegaTech - The Revenge Of Shinobi,1989,Sega
mt_parlg,,MegaTech - Parlour Games,1989,Sega
mt_tgolf,,MegaTech - Arnold Palmer Tournament Golf,1989,Sega
mt_tlbba,,MegaTech - Tommy Lasorda Baseball,1989,Sega
mt_eswat,,MegaTech - E-Swat,1989,Sega
mt_smgp,,MegaTech - Super Monaco Grand Prix,1990,Sega
mt_mwalk,,MegaTech - Moonwalker,1989,Sega
mt_bbros,,MegaTech - Bonanza Bros.,1989,Sega
mt_sonic,,MegaTech - Sonic the Hedgehog,1989,Sega
mt_fshrk,,MegaTech - Fire Shark,1989,Sega
mt_gaxe2,,MegaTech - Golden Axe 2,1989,Sega
mt_kcham,,MegaTech - Kid Chameleon,1989,Sega
mp_sonic,,Sonic The Hedgehog,1993,Sega
mp_gaxe2,,Golden Axe II,1993,Sega
mp_sor2,,Streets Of Rage II,1993,Sega
mp_twc,,Tecmo World Cup,1993,Sega
mp_soni2,,Sonic The Hedgehog 2,1993,Sega
mp_bio,,Bio-Hazard Battle,1993,Sega
mp_shnb3,,Shinobi III,1993,Sega
mp_col3,,Columns III,1993,Sega
lnc,,Lock'n'Chase,1981,Data East Corporation
zoar,,Zoar,1982,Data East USA
btime,,Burger Time (Data East set 1),1982,Data East Corporation
btime2,btime,Burger Time (Data East set 2),1982,Data East Corporation
btimem,btime,Burger Time (Midway),1982,Data East (Bally Midway license)
cookrace,btime,Cook Race,1982,bootleg
wtennis,,World Tennis,1982,bootleg
brubber,,Burnin' Rubber,1982,Data East
bnj,brubber,Bump 'n' Jump,1982,Data East USA (Bally Midway license)
caractn,brubber,Car Action,1982,bootleg
disco,,Disco No.1,1982,Data East
discof,disco,Disco No.1 (Rev.F),1982,Data East
sdtennis,,Super Doubles Tennis,1983,Data East Corporation
mmonkey,,Minky Monkey,1982,Technos + Roller Tron
ctsttape,,Cassette: Test Tape,1981,DECO
cterrani,,Cassette: Terranean,1981,DECO
castfant,,Cassette: Astro Fantasia,1981,DECO
csuperas,,Cassette: Super Astro Fighter,1981,DECO
clocknch,,Cassette: Lock'n'Chase,1981,DECO
cprogolf,,Cassette: Pro Golf,1981,DECO
cluckypo,,Cassette: Lucky Poker,1981,DECO
ctisland,,Cassette: Treasure Island (set 1),1981,DECO
ctislnd2,ctisland,Cassette: Treasure Island (set 2),1981,DECO
ctislnd3,ctisland,Cassette: Treasure Island (set 3),1981,DECO
cdiscon1,,Cassette: Disco No.1,1982,DECO
csweetht,cdiscon1,Cassette: Sweet Heart,1982,DECO
ctornado,,Cassette: Tornado,1982,DECO
cmissnx,,Cassette: Mission-X,1982,DECO
cptennis,,Cassette: Pro Tennis,1982,DECO
cexplore,,Cassette: Explorer,1982,DECO
cadanglr,,Cassette: Angler Dangler,1982,DECO
cfishing,cadanglr,Cassette: Fishing,1982,DECO
cbtime,,Cassette: Burger Time,1983,DECO
cburnrub,,Cassette: Burnin' Rubber (set 1),1982,DECO
cburnrb2,cburnrub,Cassette: Burnin' Rubber (set 2),1982,DECO
cbnj,cburnrub,Cassette: Bump N Jump,1982,DECO
cgraplop,,Cassette: Graplop (aka Cluster Buster) (set 1),1983,DECO
cgraplp2,cgraplop,Cassette: Graplop (aka Cluster Buster) (set 2),1983,DECO
clapapa,,Cassette: Rootin' Tootin' (aka La.Pa.Pa),1983,DECO
clapapa2,clapapa,Cassette: Rootin' Tootin',1983,DECO
cnightst,,Cassette: Night Star (set 1),1983,DECO
cnights2,cnightst,Cassette: Night Star (set 2),1983,DECO
cprosocc,,Cassette: Pro Soccer,1983,DECO
cprobowl,,Cassette: Pro Bowling,1983,DECO
cscrtry,,Cassette: Scrum Try (set 1),1984,DECO
cscrtry2,cscrtry,Cassette: Scrum Try (set 2),1984,DECO
cppicf,,Cassette: Peter Pepper's Ice Cream Factory (set 1),1984,DECO
cppicf2,cppicf,Cassette: Peter Pepper's Ice Cream Factory (set 2),1984,DECO
cfghtice,,Cassette: Fighting Ice Hockey,1984,DECO
cbdash,,Cassette: Boulder Dash,1985,DECO
chwy,,Cassette: Highway Chase[Q],1985,DECO
cflyball,,Cassette: Flying Ball[Q],1985,DECO
czeroize,,Cassette: Zeroize,1983,DECO
madalien,,Mad Alien,1980,Data East Corporation
astrof,,Astro Fighter (set 1),1979,Data East
astrof2,astrof,Astro Fighter (set 2),1979,Data East
astrof3,astrof,Astro Fighter (set 3),1979,Data East
tomahawk,,Tomahawk 777 (Revision 1),1980,Data East
tomahaw5,tomahawk,Tomahawk 777 (Revision 5),1980,Data East
prosoccr,,Pro Soccer,1983,Data East Corporation
prosport,,Prosport,1983,Data East Corporation
boomrang,,Boomer Rang'r - Genesis,1983,Data East Corporation
kamikcab,,Kamikaze Cabbie,1984,Data East Corporation
liberate,,Liberation,1984,Data East Corporation
liberatb,liberate,Liberation (bootleg),1984,bootleg
bwing,,B-Wings (Japan),1984,Data East Corporation
bwings,bwing,Battle Wings,1984,Data East Corporation
batwings,bwing,Battle Wings (alt),1984,Data East Corporation
zaviga,,Zaviga,1984,Data East Corporation
zavigaj,zaviga,Zaviga (Japan),1984,Data East Corporation
kchamp,,Karate Champ (US),1984,Data East USA
karatedo,kchamp,Karate Dou (Japan),1984,Data East Corporation
kchampvs,kchamp,Karate Champ (US VS version),1984,Data East USA
karatevs,kchamp,Taisen Karate Dou (Japan VS version),1984,Data East Corporation
compgolf,,Competition Golf Final Round (revision 3),1986,Data East
compglfo,compgolf,Competition Golf Final Round (old version),1985,Data East
tryout,,Pro Baseball Skill Tryout (Japan),1985,Data East Corporation
firetrap,,Fire Trap (US),1986,Data East USA
firetpbl,firetrap,Fire Trap (Japan bootleg),1986,bootleg
metlclsh,,Metal Clash (Japan),1985,Data East
brkthru,,Break Thru (US),1986,Data East USA
brkthruj,brkthru,Kyohkoh-Toppa (Japan),1986,Data East Corporation
darwin,,Darwin 4078 (Japan),1986,Data East Corporation
shootout,,Shoot Out (US),1985,Data East USA
shootouj,shootout,Shoot Out (Japan),1985,Data East USA
shootoub,shootout,Shoot Out (Korean Bootleg),1985,bootleg
sidepckt,,Side Pocket (World),1986,Data East Corporation
sidepctj,sidepckt,Side Pocket (Japan),1986,Data East Corporation
sidepctb,sidepckt,Side Pocket (bootleg),1986,bootleg
exprraid,,Express Raider (US),1986,Data East USA
wexpress,exprraid,Western Express (World[Q]),1986,Data East Corporation
wexpresb,exprraid,Western Express (bootleg set 1),1986,bootleg
wexpresc,exprraid,Western Express (bootleg set 2),1986,bootleg
pcktgal,,Pocket Gal (Japan),1987,Data East Corporation
pcktgalb,pcktgal,Pocket Gal (bootleg),1987,bootleg
pcktgal2,pcktgal,Pocket Gal 2 (World[Q]),1989,Data East Corporation
spool3,pcktgal,Super Pool III (World[Q]),1989,Data East Corporation
spool3i,pcktgal,Super Pool III (I-Vics),1990,Data East Corporation (I-Vics license)
battlera,,Battle Rangers (World),1988,Data East Corporation
bldwolf,battlera,Bloody Wolf (US),1988,Data East USA
actfancr,,Act-Fancer Cybernetick Hyper Weapon (World revision 2),1989,Data East Corporation
actfanc1,actfancr,Act-Fancer Cybernetick Hyper Weapon (World revision 1),1989,Data East Corporation
actfancj,actfancr,Act-Fancer Cybernetick Hyper Weapon (Japan revision 1),1989,Data East Corporation
triothep,,Trio The Punch - Never Forget Me... (Japan),1989,Data East Corporation
lastmisn,,Last Mission (US revision 6),1986,Data East USA
lastmsno,lastmisn,Last Mission (US revision 5),1986,Data East USA
lastmsnj,lastmisn,Last Mission (Japan),1986,Data East Corporation
shackled,,Shackled (US),1986,Data East USA
breywood,shackled,Breywood (Japan revision 2),1986,Data East Corporation
csilver,,Captain Silver (Japan),1987,Data East Corporation
ghostb,,The Real Ghostbusters (US 2 Players),1987,Data East USA
ghostb3,ghostb,The Real Ghostbusters (US 3 Players),1987,Data East USA
meikyuh,ghostb,Meikyuu Hunter G (Japan),1987,Data East Corporation
srdarwin,,Super Real Darwin (World),1987,Data East Corporation
srdarwnj,srdarwin,Super Real Darwin (Japan),1987,Data East Corporation
gondo,,Gondomania (US),1987,Data East USA
makyosen,gondo,Makyou Senshi (Japan),1987,Data East Corporation
garyoret,,Garyo Retsuden (Japan),1987,Data East Corporation
cobracom,,Cobra-Command (World revision 5),1988,Data East Corporation
cobracmj,cobracom,Cobra-Command (Japan),1988,Data East Corporation
oscar,,Psycho-Nics Oscar (US),1988,Data East USA
oscarj,oscar,Psycho-Nics Oscar (Japan revision 2),1987,Data East Corporation
oscarj1,oscar,Psycho-Nics Oscar (Japan revision 1),1987,Data East Corporation
oscarj0,oscar,Psycho-Nics Oscar (Japan revision 0),1987,Data East Corporation
karnov,,Karnov (US),1987,Data East USA
karnovj,karnov,Karnov (Japan),1987,Data East Corporation
