name,cloneof,description,year,manufacturer
fswords,samsho3,Fighters Swords (Korean release of Samurai Shodown III),1995,SNK
fghtbskt,,Fighting Basketball,1984,Paradise Co. Ltd.
ffantasyj,hippodrm,Fighting Fantasy (Japan revision 2),1989,Data East Corpotation
ffantasy,hippodrm,Fighting Fantasy (Japan revision 3),1989,Data East Corpotation
ffantasyb,hippodrm,Fighting Fantasy (Japan revision ?),1989,Data East Corpotation
ffantasya,hippodrm,Fighting Fantasy (Japan),1989,Data East Corpotation
fhawkj,fhawk,Fighting Hawk (Japan),1988,Taito Corporation
fhawk,,Fighting Hawk (World),1988,Taito Corporation Japan
cfghtice,,Fighting Ice Hockey (DECO Cassette) (US),1984,Data East Corporation
fightrol,,Fighting Roller,1983,Kaneko (Taito license)
fsoccerj,fsoccer,Fighting Soccer (Japan),1988,SNK
fsoccerb,fsoccer,Fighting Soccer (Joystick hack bootleg),1988,bootleg
fsoccerba,fsoccer,"Fighting Soccer (Joystick hack bootleg, alt)",1988,bootleg
fsoccer,,Fighting Soccer (version 4),1988,SNK
finalbj,finalb,Final Blow (Japan),1988,Taito Corporation
finalbu,finalb,Final Blow (US),1988,Taito America Corporation
finalb,,Final Blow (World),1988,Taito Corporation Japan
fcrash,ffight,Final Crash (bootleg (with 2xYM2203 + 2xMSM5205)),1990,Playmark
ffightj1,ffight,Final Fight (900112 Japan),1989,Capcom
ffightua,ffight,Final Fight (900112 USA),1989,Capcom
ffightj2,ffight,Final Fight (900305 Japan),1989,Capcom
ffightj3,ffight,Final Fight (900405 Japan),1989,Capcom
ffightub,ffight,Final Fight (900424 USA),1989,Capcom
ffightj4,ffight,Final Fight (900613 Japan),1989,Capcom
ffightuc,ffight,Final Fight (900613 USA),1989,Capcom
ffightbl,ffight,"Final Fight (bootleg set 1 (with 2xYM2203 + 2xMSM5205), World)",1990,bootleg
ffightbla,ffight,"Final Fight (bootleg set 2 (with 2xYM2203 + 2xMSM5205), World))",1990,bootleg
ffightj,ffight,Final Fight (Japan),1989,Capcom
ffightu,ffight,"Final Fight (USA, set 1)",1989,Capcom
ffightu1,ffight,"Final Fight (USA, set 2)",1989,Capcom
ffightu2,ffight,"Final Fight (USA, set 3)",1989,Capcom
ffight,,"Final Fight (World, set 1)",1989,Capcom
ffighta,ffight,"Final Fight (World, set 2)",1989,Capcom
ffightaemgc,ffight,Final Fight 30th Anniversary Edition (Mad Gear's City Hack),2022,ZombieMaster
ffightae,ffight,Final Fight 30th Anniversary Edition,2019,hack
finalgdr,,"Final Godori (Korea, version 2.20.5915)",2001,SemiCom
finallapjb,finallap,"Final Lap (Japan, Rev B)",1987,Namco
finallapjc,finallap,"Final Lap (Japan, Rev C)",1987,Namco
finallapc,finallap,Final Lap (Rev C),1987,Namco
finallapd,finallap,Final Lap (Rev D),1987,Namco
finallap,,Final Lap (Rev E),1987,Namco
finalap2j,finalap2,Final Lap 2 (Japan),1990,Namco
finalap2,,Final Lap 2,1990,Namco
finalap3bl,finalap3,Final Lap 3 (bootleg),1992,Namco
finalap3jc,finalap3,Final Lap 3 (Japan - Rev C),1992,Namco
finalap3j,finalap3,Final Lap 3 (Japan),1992,Namco
finalap3,,"Final Lap 3 (World, set 1)",1992,Namco
finalap3a,finalap3,"Final Lap 3 (World, set 2)",1992,Namco
fstarfrcj,fstarfrc,"Final Star Force (Japan, set 1)",1992,Tecmo
fstarfrcja,fstarfrc,"Final Star Force (Japan, set 2)",1992,Tecmo
fstarfrc,,Final Star Force (US),1992,Tecmo
fstarfrcw,fstarfrc,Final Star Force (World?),1992,Tecmo
finalttr,,Final Tetris,1993,Jeil Computer System
finalizrb,finalizr,Finalizer - Super Transformation (bootleg),1985,bootleg
finalizr,,Finalizer - Super Transformation (set 1),1985,Konami
finalizra,finalizr,Finalizer - Super Transformation (set 2),1985,Konami
finehour,,Finest Hour (Japan),1989,Namco
finger,stinger,Finger (bootleg of Stinger),1983,bootleg
fball,,Fire Ball (FM Work),1992,FM Work
firebarr,airass,Fire Barrel (Japan),1993,Irem
firebatl,,Fire Battle,1984,Wood Place Inc. (Taito license)
firehawk,spec2k,Fire Hawk (World) / Huohu Chuanshuo (China) (horizontal),2001,ESD
fireshrka,fireshrk,Fire Shark (earlier),1989,Toaplan
fireshrkd,fireshrk,"Fire Shark (Korea, set 1, easier)",1990,Toaplan (Dooyong license)
fireshrkdh,fireshrk,"Fire Shark (Korea, set 2, harder)",1990,Toaplan (Dooyong license)
fireshrk,,Fire Shark,1990,Toaplan
firetrapbl,firetrap,Fire Trap (Japan bootleg),1986,bootleg
firetrapj,firetrap,Fire Trap (Japan),1986,Wood Place Inc.
firetrapa,firetrap,Fire Trap (US),1986,Wood Place Inc. (Data East USA license)
firetrap,,"Fire Trap (US, rev A)",1986,Wood Place Inc. (Data East USA license)
firebeas,,Firebeast (prototype),1983,Atari
cfishing,cadanglr,Fishing (DECO Cassette) (Japan),1982,Data East Corporation
fitterbl,roundup,Fitter (bootleg of Round-Up),1981,bootleg
fitter,roundup,Fitter,1981,Taito Corporation
fixeight,,FixEight (Europe),1992,Toaplan
fixeightt,fixeight,"FixEight (Europe, Taito license)",1992,Toaplan
fixeighth,fixeight,FixEight (Hong Kong),1992,Toaplan
fixeightht,fixeight,"FixEight (Hong Kong, Taito license)",1992,Toaplan
fixeightj,fixeight,FixEight (Japan),1992,Toaplan
fixeightjt,fixeight,"FixEight (Japan, Taito license)",1992,Toaplan
fixeightk,fixeight,FixEight (Korea),1992,Toaplan
fixeightkt,fixeight,"FixEight (Korea, Taito license)",1992,Toaplan
fixeighta,fixeight,FixEight (Southeast Asia),1992,Toaplan
fixeightat,fixeight,"FixEight (Southeast Asia, Taito license)",1992,Toaplan
fixeighttw,fixeight,FixEight (Taiwan),1992,Toaplan
fixeighttwt,fixeight,"FixEight (Taiwan, Taito license)",1992,Toaplan
fixeightu,fixeight,FixEight (USA),1992,Toaplan
fixeightut,fixeight,"FixEight (USA, Taito license)",1992,Toaplan
flkatck,mx5000,Flak Attack (Japan),1987,Konami
flkatcka,mx5000,"Flak Attack (Japan, PWB 450593 sub-board)",1987,Konami
cfboy0a1,,"Flash Boy (vertical) [DECO Cassette MD] (No.12/Ver.0/Set.1,Japan)",1981,Data East Corporation
fpointbj,fpoint,"Flash Point (Japan, bootleg)",1989,bootleg
fpoint1d,fpoint,"Flash Point (set 1, Japan, FD1094 317-0127A decrypted)",1989,Sega
fpoint1,fpoint,"Flash Point (set 1, Japan, FD1094 317-0127A)",1989,Sega
fpointd,fpoint,"Flash Point (set 2, Japan, FD1094 317-0127A decrypted)",1989,Sega
fpoint,,"Flash Point (set 2, Japan, FD1094 317-0127A)",1989,Sega
fpointbl,fpoint,"Flash Point (World, bootleg)",1989,bootleg
flashgal,,Flashgal (set 1),1985,Kyugo / Sega
flashgalk,flashgal,"Flashgal (set 1, Kyugo logo)",1985,Kyugo / Sega
flashgala,flashgal,Flashgal (set 2),1985,Kyugo / Sega
flicky,,"Flicky (128k Version, 315-5051)",1984,Sega
flickya,flicky,"Flicky (128k Version, 315-5051, larger roms))",1984,Sega
flickys2,flicky,"Flicky (128k Version, not encrypted)",1984,Sega
flickyg,flicky,"Flicky (128k Version, System 2, 315-5051, alt graphics)",1984,Sega
flickys2g,flicky,"Flicky (128k Version, System 2, not encrypted, alt graphics)",1984,Sega
flickyo,flicky,"Flicky (64k Version, 315-5051, set 1)",1984,Sega
flickys1,flicky,"Flicky (64k Version, 315-5051, set 2)",1984,Sega
flickyup,flicky,"Flicky (64k Version, on Up'n Down boardset)",1984,Sega
flipjack,,Flipper Jack,1983,"Jackson Co., Ltd."
flipull,plotting,Flipull (Japan),1989,Taito Corporation
floritas,mooncrst,Floritas (Moon Cresta bootleg),1980,bootleg
floritasm,mooncrst,Floritas (Multivideo Spanish Moon Cresta bootleg),1980,bootleg (Multivideo)
flowerj,flower,Flower (Japan),1986,Clarue (Sega / Alpha Denshi Co. license)
flower,,Flower (US),1986,Clarue (Komax license)
flyboyb,flyboy,Fly-Boy (bootleg),1982,bootleg
flyboy,,Fly-Boy,1982,Kaneko
fnshark,fshark,Flyin' Shark (bootleg of Hishou Zame),1987,bootleg
cflyball,,Flying Ball (DECO Cassette) (US),1985,Data East Corporation
fsharkbt,fshark,Flying Shark (bootleg with 8741),1987,bootleg
fshark,,Flying Shark (World),1987,Toaplan / Taito Corporation
flytiger,,Flying Tiger (set 1),1992,Dooyong
flytigera,flytiger,Flying Tiger (set 2),1992,Dooyong
foodfc,foodf,Food Fight (cocktail),1982,General Computer Corporation (Atari license)
foodf1,foodf,Food Fight (rev 1),1982,General Computer Corporation (Atari license)
foodf2,foodf,Food Fight (rev 2),1982,General Computer Corporation (Atari license)
foodf,,Food Fight (rev 3),1982,General Computer Corporation (Atari license)
footchmp,,Football Champ (World),1990,Taito Corporation Japan
fbfrenzy,,Football Frenzy (NGM-034)(NGH-034),1992,SNK
forcebrk,brkthru,Force Break (bootleg),1986,bootleg
forgottnj,forgottn,Forgotten Worlds (Japan) (English prototype),1988,Capcom
forgottnua,forgottn,"Forgotten Worlds (US, B-Board 88618B-2, rev A)",1988,Capcom
forgottnuaa,forgottn,"Forgotten Worlds (US, B-Board 88618B-2, rev AA)",1988,Capcom
forgottnuc,forgottn,"Forgotten Worlds (US, B-Board 88618B-2, Rev C)",1988,Capcom
forgottnue,forgottn,"Forgotten Worlds (US, B-Board 88618B-2, Rev E)",1988,Capcom
forgottnu,forgottn,"Forgotten Worlds (US, B-Board 88621B-2, rev C)",1988,Capcom
forgottna,forgottn,Forgotten Worlds (World),1988,Capcom
forgottn,,"Forgotten Worlds (World, newer)",1988,Capcom
formatz,,Formation Z,1984,Jaleco
fort2ba,fort2b,Fortress 2 Blue Arcade (Korea) (ver 1.00 / pcb ver 3.05),2001,Eolith
fort2b,,Fortress 2 Blue Arcade (World) (ver 1.01 / pcb ver 3.05),2001,Eolith
fourtraxj,fourtrax,Four Trax (Japan),1989,Namco
fourtraxa,fourtrax,"Four Trax (US?, censored banners)",1989,Namco (Atari license?)
fourtrax,,Four Trax (World),1989,Namco
freekickb1,freekick,Free Kick (bootleg set 1),1987,bootleg
freekickb3,freekick,Free Kick (bootleg set 3),1987,bootleg
freekick,,Free Kick (NS6201-A 1987.10),1987,Nihon System (Merit license)
freekicka,freekick,Free Kick (NS6201-A 1987.9),1987,Nihon System
freeze,,Freeze,1984,Cinematronics
frenzy,,Frenzy (revision RA1),1981,Stern Electronics
friskyt,,Frisky Tom (set 1),1981,Nichibutsu
friskyta,friskyt,Frisky Tom (set 2),1981,Nichibutsu
friskytb,friskyt,"Frisky Tom (set 3, encrypted)",1981,Nichibutsu
fspiderb,,Frog &amp; Spiders (bootleg?),1981,Taito Corporation
frogg,frogger,Frog (bootleg on Galaxian hardware),1981,bootleg
frogf,frogger,Frog (Falcon bootleg),1981,bootleg
froggers,frogger,Frog,1981,bootleg
cps1frog,,Frog Feast (CPS-1),2006,Rastersoft (Homebrew)
ngfrog,,Frog Feast (Neo Geo),2006,Rastersoft
pgmfrog,,Frog Feast (PGM),2006,RasterSoft
froggermc,frogger,Frogger (Moon Cresta hardware),1981,Konami (Sega license)
froggrs,frogger,Frogger (Scramble hardware),1981,Coin Music
froggers1,frogger,Frogger (Sega set 1),1981,Konami (Sega license)
froggers2,frogger,Frogger (Sega set 2),1981,Konami (Sega license)
froggers3,frogger,Frogger (Sega set 3),1981,Konami (Sega license)
frogger,,Frogger,1981,Konami
frontlin,,Front Line (set 1),1982,Taito Corporation
frontlina,frontlin,Front Line (set 2),1982,Taito Corporation
fjbuster,shogwarr,Fujiyama Buster (Japan),1992,Kaneko
fullthrl,topspeed,Full Throttle (Japan),1987,Taito Corporation
funkybeeb,funkybee,"Funky Bee (bootleg, harder)",1982,bootleg
funkybee,,Funky Bee,1982,Orca
fnkyfish,,Funky Fish,1981,Sun Electronics
funkyjetj,funkyjet,"Funky Jet (Japan, rev 2)",1992,Mitchell (Data East Corporation license)
funkyjeta2,funkyjet,"Funky Jet (Korea, prototype?)",1992,Mitchell
funkyjeta,funkyjet,Funky Jet (World),1992,Mitchell
funkyjet,,"Funky Jet (World, rev 1)",1992,Mitchell
funybublc,funybubl,Funny Bubble (Comad version),1999,Comad Industry Co Ltd
funybubl,,Funny Bubble,1999,In Chang Electronic Co
funnymou,suprmous,Funny Mouse (Japan),1982,Taito Corporation (Chuo Co. Ltd license)
futspy,,Future Spy,1984,Sega
glocu,gloc,G-LOC Air Battle (US),1990,Sega
gloc,,G-LOC Air Battle (World),1990,Sega
glocr360j,gloc,G-LOC R360 (Japan),1990,Sega
glocr360,gloc,G-LOC R360 (World),1990,Sega
gstream,,G-Stream G2020,2002,Oriental Soft Japan
gijoea,gijoe,"G.I. Joe (Asia, AA)",1992,Konami
gijoej,gijoe,"G.I. Joe (Japan, JAA)",1992,Konami
gijoeua,gijoe,"G.I. Joe (US, UAA)",1992,Konami
gijoeu,gijoe,"G.I. Joe (US, UAB)",1992,Konami
gijoe,,"G.I. Joe (World, EAB, set 1)",1992,Konami
gijoeea,gijoe,"G.I. Joe (World, EB8, prototype?)",1992,Konami
gaialast,,Gaia - The Last Choice of Earth,1999,SemiCom / XESS
gaia,,Gaia Crusaders,1999,Noise Factory
gaiapols,,Gaiapolis (ver EAF),1993,Konami
gaiapolsj,gaiapols,Gaiapolis (ver JAF),1993,Konami
gaiapolsu,gaiapols,Gaiapolis (ver UAF),1993,Konami
ggroundj,gground,"Gain Ground (Japan, 2 Players, Floppy Based, FD1094 317-0058-03b)",1988,Sega
gground,,"Gain Ground (World, 3 Players, Floppy Based, FD1094 317-0058-03d Rev A)",1988,Sega
galastrm,,Galactic Storm (Japan),1992,Taito Corporation
gwarrior,,Galactic Warriors,1985,Konami
galaga88a,galaga88,Galaga '88 (02-03-88),1987,Namco
galaga88j,galaga88,Galaga '88 (Japan),1987,Namco
galaga88,,Galaga '88,1987,Namco
galagamf,galaga,Galaga (Midway set 1 with fast shoot hack),1981,Namco (Midway License)
galagamw,galaga,Galaga (Midway set 1),1981,Namco (Midway License)
galagamk,galaga,Galaga (Midway set 2),1981,Namco (Midway License)
galaga,,Galaga (Namco rev. B),1981,Namco
galagao,galaga,Galaga (Namco),1981,Namco
galaga3a,gaplus,Galaga 3 (GP3 rev. C),1984,Namco
galaga3,gaplus,Galaga 3 (GP3 rev. D),1984,Namco
galaga3b,gaplus,Galaga 3 (GP3),1984,Namco
galaga3c,gaplus,Galaga 3 (set 4),1984,Namco
galaga3m,gaplus,Galaga 3 (set 5),1984,Namco
neogalag,,Galaga Demo (set 1),2013,Cristiano Bei/www.iocerom.com
neogalaga,neogalag,Galaga Demo (set 2),2013,Cristiano Bei/www.iocerom.com
galaktron,galaxian,Galaktron (Petaco S.A.),1979,bootleg (Petaco S.A.)
galaxbsf,galaxian,"Galaxian (bootleg, set 1)",1979,bootleg
galaxianbl,galaxian,"Galaxian (bootleg, set 2)",1979,bootleg
galaxbsf2,galaxian,"Galaxian (bootleg, set 3)",1979,bootleg
galaxianbl2,galaxian,"Galaxian (bootleg, set 4)",1979,bootleg
galaxcirsa,galaxian,Galaxian (Cirsa Spanish bootleg),1979,bootleg (Cirsa)
galaxianem,galaxian,Galaxian (Electromar Spanish bootleg),1980,bootleg (Electromar)
galaxiani,galaxian,Galaxian (Irem),1979,bootleg? (Irem)
galaxianm,galaxian,Galaxian (Midway set 1),1979,Namco (Midway license)
galaxianmo,galaxian,Galaxian (Midway set 2),1979,Namco (Midway license)
galaxian,,Galaxian (Namco set 1),1979,Namco
galaxiana,galaxian,Galaxian (Namco set 2),1979,Namco
galaxrf,galaxian,Galaxian (Recreativos Franco S.A. Spanish bootleg),1980,bootleg (Recreativos Franco S.A.)
galaxianrp,galaxian,Galaxian (Rene Pierre bootleg),1979,bootleg (Valadon Automation / Rene Pierre)
galaxianbl3,galaxian,Galaxian (Spanish bootleg),1979,bootleg
galaxiant,galaxian,Galaxian (Taito),1979,Namco (Taito license)
galaxrcgg,galaxian,Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Covadonga Spanish bootleg),1980,bootleg (Recreativos Covadonga)
galaxrfgg,galaxian,Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg),1980,bootleg (Recreativos Franco S.A.)
galap4,galaxian,Galaxian Part 4 (hack),1979,G.G.I
galapx,galaxian,Galaxian Part X (moonaln hack),1979,hack
tst_galx,galaxian,Galaxian Test ROM,1979,Test ROM
galturbo,galaxian,Galaxian Turbo (superg hack),1979,hack
galemp,uniwars,Galaxy Empire (bootleg?),1980,bootleg (Taito do Brasil)
galaxyfg,,Galaxy Fight - Universal Warriors,1995,Sunsoft
gforce2j,gforce2,Galaxy Force 2 (Japan),1988,Sega
gforce2ja,gforce2,"Galaxy Force 2 (Japan, Rev A)",1988,Sega
gforce2sd,gforce2,Galaxy Force 2 (Super Deluxe unit),1988,Sega
gforce2,,Galaxy Force 2,1988,Sega
galaxygn,,Galaxy Gunners,1989,Electronic Devices Italy
galwars2,defender,Galaxy Wars II (Defender bootleg),1981,bootleg (Sonic)
galaxyx,galaxian,Galaxy X (bootleg of Galaxian),1979,bootleg
gallag,galaga,Gallag,1981,bootleg
gallop,cosmccop,"Gallop - Armed police Unit (Japan, M72 hardware)",1991,Irem
galmedes,,Galmedes (Japan),1992,Visco
galhustl,pgalvip,Gals Hustler,1997,ACE International
galpanic,,Gals Panic (Unprotected),1990,Kaneko
galpani3,,Gals Panic 3 (Euro),1995,Kaneko
galpani3hk,galpani3,Gals Panic 3 (Hong Kong),1995,Kaneko
galpani3j,galpani3,Gals Panic 3 (Japan),1995,Kaneko
galpani3k,galpani3,Gals Panic 3 (Korea),1995,Kaneko
galpani4,,Gals Panic 4 (Europe),1996,Kaneko
galpani4j,galpani4,Gals Panic 4 (Japan),1996,Kaneko
galpani4k,galpani4,Gals Panic 4 (Korea),1996,Kaneko
galpanidx,galpani4,Gals Panic DX (Asia),2001,Kaneko
galpaniex,galpani4,Gals Panic EX (Korea),2000,Kaneko
galpanisa,galpanis,Gals Panic S - Extra Edition (Asia),1997,Kaneko
galpanis,,"Gals Panic S - Extra Edition (Europe, revision 1)",1997,Kaneko
galpanise,galpanis,"Gals Panic S - Extra Edition (Europe, set 2)",1997,Kaneko
galpanisj,galpanis,"Gals Panic S - Extra Edition (Japan, revision 1)",1997,Kaneko
galpaniska,galpanis,Gals Panic S - Extra Edition (Korea),1997,Kaneko
galpanisk,galpanis,"Gals Panic S - Extra Edition (Korea, revision 1)",1997,Kaneko
galpans2a,galpans2,Gals Panic S2 (Asia),1999,Kaneko
galpans2,,Gals Panic S2 (Europe),1999,Kaneko
galpans2j,galpans2,Gals Panic S2 (Japan),1999,Kaneko
galpans3,,Gals Panic S3 (Japan),2002,Kaneko
galpansu,galpans2,Gals Panic SU (Korea),1999,Kaneko
galspnbl,,Gals Pinball,1996,Comad
usg182,usgames,Games V18.2,1989,U.S. Games
usg185,usgames,Games V18.5,1990,U.S. Games
usg187c,usgames,Games V18.7C,1991,U.S. Games
usgames,,Games V25.4X,1992,U.S. Games
ginkun,,Ganbare Ginkun,1995,Tecmo
gangonta,prtytime,Ganbare! Gonta!! 2 / Party Time: Gonta the Diver II (Japan Release),1995,Mitchell
ganbare,,Ganbare! Marine Kun (Marine 2K0411 JPN),2000,Capcom
gbusters,,Gang Busters (set 1),1988,Konami
gbustersa,gbusters,Gang Busters (set 2),1988,Konami
ghunters,deadang,Gang Hunter / Dead Angle (Spain),1988,Seibu Kaihatsu (SegaSA / Sonic license)
ghunter,deadang,Gang Hunter / Dead Angle,1988,Seibu Kaihatsu
gangwarsb,gangwars,Gang Wars (bootleg),1989,bootleg
gangwarsj,gangwars,Gang Wars (Japan),1989,Alpha Denshi Co.
gangwarsu,gangwars,Gang Wars (US),1989,Alpha Denshi Co.
gangwars,,Gang Wars,1989,Alpha Denshi Co.
ganryu,,Ganryu / Musashi Ganryuki,1999,Visco
gaplusd,gaplus,"Gaplus (GP2 rev D, alternate hardware)",1984,Namco
gaplus,,Gaplus (GP2 rev. B),1984,Namco
gaplusa,gaplus,Gaplus (GP2),1984,Namco
gaplust,gaplus,Gaplus (Tecfri PCB),1992,bootleg (Tecfri)
gardia,,Gardia (317-0006),1986,Coreland / Sega
garogun,,Garogun Seroyang (Korea),2000,Yun Sung
garoubl,garou,Garou - Mark of the Wolves (bootleg),1999,bootleg
garoub,garou,Garou - Mark of the Wolves (Enable hidden characters),1999,Ydmis
garouha,garou,Garou - Mark of the Wolves (NGH-2530),1999,SNK
garouh,garou,Garou - Mark of the Wolves (NGM-2530) (NGH-2530),1999,SNK
garou,,Garou - Mark of the Wolves (NGM-2530),1999,SNK
garoup,garou,Garou - Mark of the Wolves (prototype),1999,SNK
garuka,devstors,Garuka (Japan ver. W),1988,Konami
garyoret,,Garyo Retsuden (Japan),1987,Data East Corporation
gatedoom1,darkseal,Gate of Doom (US revision 1),1990,Data East Corporation
gatedoom,darkseal,Gate of Doom (US revision 4),1990,Data East Corporation
gauntlet2pg1,gauntlet,"Gauntlet (2 Players, German, rev 1)",1985,Atari Games
gauntlet2pg,gauntlet,"Gauntlet (2 Players, German, rev 4)",1985,Atari Games
gauntlet2pj2,gauntlet,"Gauntlet (2 Players, Japanese rev 2)",1985,Atari Games
gauntlet2pj,gauntlet,"Gauntlet (2 Players, Japanese, rev 5)",1985,Atari Games
gauntlet2pr3,gauntlet,"Gauntlet (2 Players, rev 3)",1985,Atari Games
gauntlet2p,gauntlet,"Gauntlet (2 Players, rev 6)",1985,Atari Games
gauntletg,gauntlet,"Gauntlet (German, rev 10)",1985,Atari Games
gauntletgr3,gauntlet,"Gauntlet (German, rev 3)",1985,Atari Games
gauntletgr6,gauntlet,"Gauntlet (German, rev 6)",1985,Atari Games
gauntletgr8,gauntlet,"Gauntlet (German, rev 8)",1985,Atari Games
gauntletj12,gauntlet,"Gauntlet (Japanese, rev 12)",1985,Atari Games
gauntletj,gauntlet,"Gauntlet (Japanese, rev 13)",1985,Atari Games
gauntletr1,gauntlet,Gauntlet (rev 1),1985,Atari Games
gauntlet,,Gauntlet (rev 14),1985,Atari Games
gauntletr2,gauntlet,Gauntlet (rev 2),1985,Atari Games
gauntletr4,gauntlet,Gauntlet (rev 4),1985,Atari Games
gauntletr5,gauntlet,Gauntlet (rev 5),1985,Atari Games
gauntletr7,gauntlet,Gauntlet (rev 7),1985,Atari Games
gauntletr9,gauntlet,Gauntlet (rev 9),1985,Atari Games
gauntlets,gauntlet,"Gauntlet (Spanish, rev 15)",1985,Atari Games
gaunt22pg,gaunt2,"Gauntlet II (2 Players, German)",1986,Atari Games
gaunt22p1,gaunt2,"Gauntlet II (2 Players, rev 1)",1986,Atari Games
gaunt22p,gaunt2,"Gauntlet II (2 Players, rev 2)",1986,Atari Games
gaunt2g,gaunt2,Gauntlet II (German),1986,Atari Games
gaunt2,,Gauntlet II,1986,Atari Games
geebeeb,geebee,Gee Bee (Europe),1978,Namco (F.lli Bertolino license)
geebee,,Gee Bee (Japan),1978,Namco
geebeea,geebee,Gee Bee (UK),1978,Namco (Alca license)
geebeeg,geebee,Gee Bee (US),1978,Namco (Gremlin license)
gekiridnj,gekiridn,Gekirindan (Ver 2.3J 1995/09/21),1995,Taito Corporation
gekiridn,,Gekirindan (Ver 2.3O 1995/09/21),1995,Taito Corporation
geminij,gemini,Gemini Wing (Japan),1987,Tecmo
gemini,,Gemini Wing (World),1987,Tecmo
geminib,gemini,"Gemini Wing (World, bootleg)",1987,Tecmo
genix,,Genix Family,1994,NIX
genpeitd,,Genpei ToumaDen,1986,Namco
gensitou,prehisle,Genshi-Tou 1930's (Japan),1989,SNK
geostorm,gunforc2,Geostorm (Japan),1994,Irem
getstarb1,grdian,Get Star (bootleg set 1),1986,bootleg
getstarb2,grdian,Get Star (bootleg set 2),1986,bootleg
getstarj,grdian,Get Star (Japan),1986,Toaplan / Taito
ghostbi,,Ghost Busters (FMV Demo),2009,Sergi
ghostmun,puckman,Ghost Muncher,1981,Leisure and Allied
gpilotsh,gpilots,Ghost Pilots (NGH-020)(US),1991,SNK
gpilots,,Ghost Pilots (NGM-020)(NGH-020),1991,SNK
gpilotsp,gpilots,Ghost Pilots (prototype),1991,SNK
ghostlop,,Ghostlop (prototype),1996,Data East Corporation
gmgalax,,Ghostmuncher Galaxian (bootleg),1981,LAX
gngbl,gng,Ghosts'n Goblins (bootleg with Cross),1985,bootleg
gngbla,gng,"Ghosts'n Goblins (bootleg, harder)",1985,bootleg
gngblita,gng,"Ghosts'n Goblins (Italian bootleg, harder)",1985,bootleg
gngprot,gng,Ghosts'n Goblins (prototype),1985,Capcom
gngt,gng,Ghosts'n Goblins (US),1985,Capcom (Taito America License)
gngc,gng,Ghosts'n Goblins (World Revision C),1985,Capcom
gng,,Ghosts'n Goblins (World? set 1),1985,Capcom
gnga,gng,Ghosts'n Goblins (World? set 2),1985,Capcom
ghoulsu,ghouls,Ghouls'n Ghosts (US),1988,Capcom
ghouls,,Ghouls'n Ghosts (World),1988,Capcom
ghoxj,ghox,Ghox (joystick),1991,Toaplan
ghoxjo,ghox,"Ghox (joystick, older)",1991,Toaplan
ghox,,Ghox (spinner),1991,Toaplan
gigawinga,gigawing,Giga Wing (990222 Asia),1999,Takumi (Capcom license)
gigawingb,gigawing,Giga Wing (990222 Brazil),1999,Takumi (Capcom license)
gigawingh,gigawing,Giga Wing (990222 Hispanic),1999,Takumi (Capcom license)
gigawingd,gigawing,Giga Wing (990222 USA Phoenix Edition),1999,bootleg
gigawing,,Giga Wing (990222 USA),1999,Takumi (Capcom license)
gigawingjd,gigawing,Giga Wing (990223 Japan Phoenix Edition),1999,bootleg
gigawingj,gigawing,Giga Wing (990223 Japan),1999,Takumi (Capcom license)
gigaman2,megaman2,Gigaman 2: The Power Fighters (bootleg),1996,bootleg
gigandesa,gigandes,Gigandes (earlier),1989,East Technology
gigandes,,Gigandes,1989,East Technology
gigasb,gigas,Gigas (bootleg),1986,bootleg
gigas,,"Gigas (MC-8123, 317-5002)",1986,SEGA
gigasm2,,"Gigas Mark II (MC-8123, 317-5002)",1986,SEGA
gigasm2b,gigasm2,Gigas Mark II,1986,bootleg
ginganin,,Ginga NinkyouDen (set 1),1987,Jaleco
ginganina,ginganin,Ginga NinkyouDen (set 2),1987,Jaleco
gteikokub,uniwars,Gingateikoku No Gyakushu (bootleg set 1),1980,bootleg
gteikokub2,uniwars,Gingateikoku No Gyakushu (bootleg set 2),1980,bootleg
gteikoku,uniwars,Gingateikoku No Gyakushu,1980,Irem
gladiatr,,Gladiator (US),1986,Allumer / Taito America Corporation
sgladiat,,Gladiator 1984,1984,SNK
glass10,glass,"Glass (Ver 1.0, Break Edition) (set 1)",1993,OMK / Gaelco
glass10a,glass,"Glass (Ver 1.0, Break Edition) (set 2)",1993,OMK / Gaelco
glasskr,glass,"Glass (Ver 1.1, Break Edition, Version 1994) (censored, unprotected)",1994,OMK / Gaelco (Promat license)
glass,,"Glass (Ver 1.1, Break Edition, Version 1994)",1994,OMK / Gaelco
gblchmp,kaiserkn,Global Champion (Ver 2.1A 1994/07/29),1994,Taito America Corporation
go2000,,Go 2000,2000,SunA?
gogold,recordbr,Go For The Gold (Japan),1988,Taito Corporation
yamagchi,,Go Go Mr. Yamaguchi / Yuke Yuke Yamaguchi-kun,1985,Kaneko / Taito
goalx3,,Goal! Goal! Goal!,1995,Visco
godzilla,,Godzilla (Japan),1993,Banpresto
goindolj,goindol,Goindol (Japan),1987,SunA
goindolu,goindol,Goindol (US),1987,SunA
goindol,,Goindol (World),1987,SunA
goldmedlb,goldmedl,Gold Medalist (bootleg),1988,bootleg
goldmedl,,Gold Medalist (set 1),1988,SNK
